Date/Time,Month,Day,Max Temp (deg C),Min Temp (deg C),Mean Temp (deg C),Total Precip (mm)
2015-01-01,1,1,-0.4,-6.3,-3.4,0.0
2015-01-02,1,2,0.3,-4.4,-2.1,0.0
2015-01-03,1,3,2.9,-3.6,-0.4,6.3
2015-01-04,1,4,5.0,-4.7,0.2,2.8
2015-01-05,1,5,-4.5,-11.8,-8.2,0.0
2015-01-06,1,6,-7.4,-11.7,-9.6,0.0
2015-01-07,1,7,-7.9,-17.1,-12.5,0.0
2015-01-08,1,8,-6.7,-13.3,-10.0,0.0
2015-01-09,1,9,-4.6,-11.8,-8.2,0.0
2015-01-10,1,10,-8.4,-13.4,-10.9,0.0
2015-01-11,1,11,0.8,-8.6,-3.9,0.0
2015-01-12,1,12,0.2,-15.2,-7.5,0.3
2015-01-13,1,13,-9.4,-18.6,-14.0,0.0
2015-01-14,1,14,-3.6,-10.8,-7.2,0.0
2015-01-15,1,15,-1.7,-10.7,-6.2,0.0
2015-01-16,1,16,-1.1,-12.7,-6.9,0.0
2015-01-17,1,17,4.5,-13.2,-4.4,0.0
2015-01-18,1,18,4.8,0.5,2.7,0.9
2015-01-19,1,19,1.2,-7.6,-3.2,0.0
2015-01-20,1,20,-4.6,-11.4,-8.0,0.0
2015-01-21,1,21,-2.2,-11.7,-7.0,0.0
2015-01-22,1,22,0.9,-6.8,-3.0,0.0
2015-01-23,1,23,1.0,-3.6,-1.3,0.0
2015-01-24,1,24,1.2,-4.0,-1.4,0.0
2015-01-25,1,25,-1.9,-10.8,-6.4,0.0
2015-01-26,1,26,-7.6,-12.7,-10.2,0.0
2015-01-27,1,27,-4.4,-10.9,-7.7,0.0
2015-01-28,1,28,-1.4,-12.0,-6.7,0.0
2015-01-29,1,29,1.3,-3.6,-1.2,0.0
2015-01-30,1,30,-0.5,-13.2,-6.9,0.0
2015-01-31,1,31,-1.7,-15.3,-8.5,0.0
2015-02-01,2,1,-1.6,-13.4,-7.5,0.0
2015-02-02,2,2,-10.4,-14.0,-12.2,0.0
2015-02-03,2,3,-3.2,-13.2,-8.2,0.0
2015-02-04,2,4,-0.7,-7.6,-4.2,0.0
2015-02-05,2,5,-7.6,-13.4,-10.5,0.0
2015-02-06,2,6,-3.5,-10.2,-6.9,0.0
2015-02-07,2,7,-1.7,-6.9,-4.3,0.0
2015-02-08,2,8,-6.4,-12.2,-9.3,0.0
2015-02-09,2,9,-8.9,-12.2,-10.6,3.0
2015-02-10,2,10,-4.3,-9.3,-6.8,0.0
2015-02-11,2,11,-1.1,-5.3,-3.2,0.0
2015-02-12,2,12,-1.4,-17.5,-9.5,0.0
2015-02-13,2,13,-6.6,-21.1,-13.9,0.0
2015-02-14,2,14,-4.6,-19.4,-12.0,0.0
2015-02-15,2,15,-18.5,-24.9,-21.7,0.0
2015-02-16,2,16,-12.2,-22.4,-17.3,0.0
2015-02-17,2,17,-8.1,-15.5,-11.8,0.0
2015-02-18,2,18,-7.6,-13.0,-10.3,0.0
